Date/Time SNT;MBA;Load Profile [MWh]
04.01.2024/08:15;SE1, SE2, SE3, SE4;-1881,398529
04.01.2024/08:30;SE1, SE2, SE3, SE4;-1887,647421
04.01.2024/08:45;SE1, SE2, SE3, SE4;-1888,993764
04.01.2024/09:00;SE1, SE2, SE3, SE4;-1920,410154
04.01.2024/09:15;SE1, SE2, SE3, SE4;-1921,099704
04.01.2024/09:30;SE1, SE2, SE3, SE4;-1921,617281
04.01.2024/09:45;SE1, SE2, SE3, SE4;-1924,25909
04.01.2024/10:00;SE1, SE2, SE3, SE4;-1947,767412
04.01.2024/10:15;SE1, SE2, SE3, SE4;-1948,118143
04.01.2024/10:30;SE1, SE2, SE3, SE4;-1952,996972
04.01.2024/10:45;SE1, SE2, SE3, SE4;-1954,252162
04.01.2024/11:00;SE1, SE2, SE3, SE4;-1966,459972
04.01.2024/11:15;SE1, SE2, SE3, SE4;-1967,288034
04.01.2024/11:30;SE1, SE2, SE3, SE4;-1965,010454
04.01.2024/11:45;SE1, SE2, SE3, SE4;-1967,176325
04.01.2024/12:00;SE1, SE2, SE3, SE4;-1973,914994
04.01.2024/12:15;SE1, SE2, SE3, SE4;-2116,73907
04.01.2024/12:30;SE1, SE2, SE3, SE4;-1967,508079
04.01.2024/12:45;SE1, SE2, SE3, SE4;-1965,06863
04.01.2024/13:00;SE1, SE2, SE3, SE4;-1963,005782
04.01.2024/13:15;SE1, SE2, SE3, SE4;-1960,194061
04.01.2024/13:30;SE1, SE2, SE3, SE4;-1959,261792
04.01.2024/13:45;SE1, SE2, SE3, SE4;-1957,147089
04.01.2024/14:00;SE1, SE2, SE3, SE4;-1979,181943
04.01.2024/14:15;SE1, SE2, SE3, SE4;-1980,455909
04.01.2024/14:30;SE1, SE2, SE3, SE4;-1982,810136
04.01.2024/14:45;SE1, SE2, SE3, SE4;-1986,877915
04.01.2024/15:00;SE1, SE2, SE3, SE4;-2030,968437
04.01.2024/15:15;SE1, SE2, SE3, SE4;-2044,261413
04.01.2024/15:30;SE1, SE2, SE3, SE4;-2061,912276
04.01.2024/15:45;SE1, SE2, SE3, SE4;-2076,910869
04.01.2024/16:00;SE1, SE2, SE3, SE4;-2141,24525
04.01.2024/16:15;SE1, SE2, SE3, SE4;-2161,553546
04.01.2024/16:30;SE1, SE2, SE3, SE4;-2173,427064
04.01.2024/16:45;SE1, SE2, SE3, SE4;-2174,373323
04.01.2024/17:00;SE1, SE2, SE3, SE4;-2220,112174
04.01.2024/17:15;SE1, SE2, SE3, SE4;-2227,578263
04.01.2024/17:30;SE1, SE2, SE3, SE4;-2234,892267
04.01.2024/17:45;SE1, SE2, SE3, SE4;-2231,811961
04.01.2024/18:00;SE1, SE2, SE3, SE4;-2229,034229
04.01.2024/18:15;SE1, SE2, SE3, SE4;-2235,091623
04.01.2024/18:30;SE1, SE2, SE3, SE4;-2237,409436
04.01.2024/18:45;SE1, SE2, SE3, SE4;-2241,37381
04.01.2024/19:00;SE1, SE2, SE3, SE4;-2196,215538
04.01.2024/19:15;SE1, SE2, SE3, SE4;-2194,961819
04.01.2024/19:30;SE1, SE2, SE3, SE4;-2190,452464
04.01.2024/19:45;SE1, SE2, SE3, SE4;-2196,399514
04.01.2024/20:00;SE1, SE2, SE3, SE4;-2151,188064
04.01.2024/20:15;SE1, SE2, SE3, SE4;-2146,299804
04.01.2024/20:30;SE1, SE2, SE3, SE4;-2140,773543
04.01.2024/20:45;SE1, SE2, SE3, SE4;-2138,507969
04.01.2024/21:00;SE1, SE2, SE3, SE4;-2085,589218
04.01.2024/21:15;SE1, SE2, SE3, SE4;-2089,616512
04.01.2024/21:30;SE1, SE2, SE3, SE4;-2090,204435
04.01.2024/21:45;SE1, SE2, SE3, SE4;-2073,586103
04.01.2024/22:00;SE1, SE2, SE3, SE4;-2035,91329
04.01.2024/22:15;SE1, SE2, SE3, SE4;-2022,496906
04.01.2024/22:30;SE1, SE2, SE3, SE4;-2009,840179
04.01.2024/22:45;SE1, SE2, SE3, SE4;-1999,85916
04.01.2024/23:00;SE1, SE2, SE3, SE4;-1948,60469
04.01.2024/23:15;SE1, SE2, SE3, SE4;-1945,7508
04.01.2024/23:30;SE1, SE2, SE3, SE4;-1941,44306
04.01.2024/23:45;SE1, SE2, SE3, SE4;-1945,610495
05.01.2024/00:00;SE1, SE2, SE3, SE4;-1909,436105
05.01.2024/00:15;SE1, SE2, SE3, SE4;-1907,549222
05.01.2024/00:30;SE1, SE2, SE3, SE4;-1901,912641
05.01.2024/00:45;SE1, SE2, SE3, SE4;-1900,430689
05.01.2024/01:00;SE1, SE2, SE3, SE4;-1888,895558
